ax,ay,az,prob1,prob2,prob3,movementLabel,infer_time
1.0448,-1.5564,-0.5077,0.0365,0.0106,0.9529,reves,0.0
1.3038,-2.2899,-0.3824,0.0365,0.0106,0.9529,reves,0.0
1.5057,-2.7301,-0.0128,0.0365,0.0106,0.9529,reves,0.0
1.4889,-2.7007,0.3861,0.0365,0.0106,0.9529,reves,0.0
1.1982,-2.342,0.6401,0.0365,0.0106,0.9529,reves,0.0
0.8127,-1.8466,0.9187,0.0365,0.0106,0.9529,reves,0.0
0.3572,-1.2969,1.1211,0.0365,0.0106,0.9529,reves,0.0
0.0986,-0.6073,0.8636,0.0365,0.0106,0.9529,reves,0.0
0.0319,-0.1385,0.5018,0.0365,0.0106,0.9529,reves,0.0
0.4094,0.1018,-0.0911,0.0365,0.0106,0.9529,reves,0.0
0.387,0.2991,-0.7898,0.0365,0.0106,0.9529,reves,0.0
0.2603,0.4214,-1.4713,0.0365,0.0106,0.9529,reves,0.0
0.2483,0.5106,-1.7991,0.0365,0.0106,0.9529,reves,0.0
0.3806,0.4955,-1.6433,0.0365,0.0106,0.9529,reves,0.0
0.5594,0.2518,-1.2699,0.0365,0.0106,0.9529,reves,0.0
0.6282,-0.1127,-0.8708,0.0365,0.0106,0.9529,reves,0.0
0.5576,-0.4253,-0.5907,0.0365,0.0106,0.9529,reves,0.0
0.5236,-0.5652,-0.4166,0.0365,0.0106,0.9529,reves,0.0
0.4868,-0.5575,-0.3688,0.0365,0.0106,0.9529,reves,0.0
0.4556,-0.4279,-0.4882,0.0365,0.0106,0.9529,reves,0.0
0.4032,-0.3208,-0.6658,0.0365,0.0106,0.9529,reves,0.0
0.3221,-0.324,-0.8118,0.0365,0.0106,0.9529,reves,0.0
0.3561,-0.3542,-0.9156,0.0365,0.0106,0.9529,reves,0.0
0.4221,-0.4451,-0.9913,0.0365,0.0106,0.9529,reves,0.0
0.502,-0.5731,-0.9908,0.0365,0.0106,0.9529,reves,0.0
0.5638,-0.6948,-0.9495,0.0365,0.0106,0.9529,reves,0.0
0.5835,-0.7671,-0.8823,0.0365,0.0106,0.9529,reves,0.0
0.6193,-0.8113,-0.8345,0.0365,0.0106,0.9529,reves,0.0
0.627,-0.8168,-0.7644,0.0365,0.0106,0.9529,reves,0.0
0.6119,-0.7966,-0.6868,0.0365,0.0106,0.9529,reves,0.0
0.592,-0.7644,-0.6322,0.0365,0.0106,0.9529,reves,0.0
0.5822,-0.7463,-0.5826,0.0365,0.0106,0.9529,reves,0.0
0.5129,-0.7415,-0.5031,0.0365,0.0106,0.9529,reves,0.0
0.4675,-0.7405,-0.4457,0.0365,0.0106,0.9529,reves,0.0
0.4767,-0.722,-0.3845,0.0365,0.0106,0.9529,reves,0.0
0.4888,-0.7164,-0.3134,0.0365,0.0106,0.9529,reves,0.0
0.4801,-0.7501,-0.2489,0.0365,0.0106,0.9529,reves,0.0
0.4694,-0.776,-0.2128,0.0365,0.0106,0.9529,reves,0.0
0.4772,-0.7883,-0.2114,0.3228,0.3485,0.3286,jalar,0.0
0.4767,-0.7709,-0.244,0.3228,0.3485,0.3286,jalar,0.0
0.4534,-0.7339,-0.2793,0.3228,0.3485,0.3286,jalar,0.0
0.4343,-0.71,-0.2991,0.3228,0.3485,0.3286,jalar,0.0
0.4336,-0.7094,-0.307,0.3228,0.3485,0.3286,jalar,0.0
0.434,-0.718,-0.2983,0.3228,0.3485,0.3286,jalar,0.0
0.4395,-0.7241,-0.2953,0.3228,0.3485,0.3286,jalar,0.0
0.4332,-0.7153,-0.3135,0.3228,0.3485,0.3286,jalar,0.0
0.4248,-0.7196,-0.3185,0.3228,0.3485,0.3286,jalar,0.0
0.4335,-0.7452,-0.3187,0.3228,0.3485,0.3286,jalar,0.0
0.4557,-0.7804,-0.3256,0.3228,0.3485,0.3286,jalar,0.0
0.4659,-0.806,-0.345,0.3228,0.3485,0.3286,jalar,0.0
0.4675,-0.8193,-0.3702,0.3228,0.3485,0.3286,jalar,0.0
0.4613,-0.8102,-0.3998,0.3228,0.3485,0.3286,jalar,0.0
0.4598,-0.795,-0.4159,0.3228,0.3485,0.3286,jalar,0.0
0.451,-0.7814,-0.4275,0.3228,0.3485,0.3286,jalar,0.0
0.4578,-0.7781,-0.4342,0.3228,0.3485,0.3286,jalar,0.0
